time,outfall_gate_setting,inlet_gate_setting,pump_setting,pump_station_depth_m,pump_station_full_ratio,pump_station_operating_ratio,discharge_pipe_depth_m,discharge_pipe_full_ratio,discharge_node_depth_m,trunk_downstream_depth_m,trunk_drop_depth_m,pump_flow_cms,inlet_gate_flow_cms,outfall_gate_flow_cms
01:20:00,1.0,1.0,0.0,0.7339953954677535,0.3058314147782306,0.9174942443346918,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.4188850420922452,0.25538613334479404,0.0,-2.8320000000000003e-05,0.0
01:21:00,1.0,1.0,0.0,0.7452143819234734,0.31050599246811394,0.9315179774043417,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.4378551531966004,0.2564169122992666,0.0,2.8320000000000003e-05,0.0
01:22:00,1.0,1.0,0.0,0.763019965659752,0.31792498569156336,0.9537749570746901,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.4552258238895651,0.25738370777071656,0.0,2.8320000000000003e-05,0.0
01:23:00,1.0,1.0,0.0,0.7849609892236207,0.3270670788431753,0.9812012365295258,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.4715318545590093,0.25826902297432996,0.0,2.8320000000000003e-05,0.0
01:24:00,1.0,1.0,0.0,0.7941967586861999,0.33091531611924996,0.9927459483577498,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.4908924657033769,0.2590585457837453,0.0,2.8320000000000003e-05,0.0
01:25:00,1.0,1.0,1.0,0.6699560035986141,0.27914833483275586,0.8374450044982675,0.17705391295411638,0.0983632849745091,0.3268915959276818,0.4862842814756046,0.2597437585923352,0.41994456914397593,0.42203128851109106,0.014439514671695602
01:26:00,1.0,1.0,1.0,0.716663693700072,0.29860987237503,0.8958296171250899,0.2894565967174027,0.16080922039855705,0.42456117895751416,0.4323152967073101,0.2603232970479471,0.46667026031556047,0.4698320295626802,0.1992669507483362
01:27:00,1.0,1.0,1.0,0.6648166297689541,0.27700692907039753,0.8310207872111925,0.32192885712648145,0.17884936507026747,0.4044500651147466,0.40203553097469347,0.2607944081335105,0.41480880485463756,0.3833037265238182,0.3883194655883507
01:28:00,1.0,1.0,1.0,0.6172068943101997,0.25716953929591657,0.7715086178877496,0.3133145971922369,0.1740636651067983,0.3777495832273437,0.37758985246992305,0.2611548686113533,0.36720394173976467,0.35835627714317775,0.41273045001657016
01:29:00,1.0,1.0,1.0,0.5983100779321382,0.24929586580505758,0.7478875974151727,0.30562797552250187,0.16979331973472325,0.37916307262945864,0.3504095646104926,0.26140690124405536,0.3483085691673956,0.3385296960598803,0.37174044049388755
01:30:00,0.0,1.0,1.0,0.570145784975629,0.2375607437398454,0.7126822312195361,0.29970570657677265,0.16650317032042924,0.3763390350226152,0.3287092876628474,0.2615540070532708,0.32014312416435153,0.30782541394704105,0.35010426186391946
01:31:00,0.0,1.0,1.0,0.5426655440461067,0.22611064335254447,0.6783319300576333,0.3650428387804441,0.2028015771002467,0.3589433771454415,0.3108143296767151,0.2616010487899449,0.2926632123862867,0.2823701270664566,0.0
