linkId,sourceEditorId,sourceEditorType,sourceEditorName,pipeKind,meanFlowCms,meanAbsFlowCms,tailMeanFlowCms,tailMeanAbsFlowCms,maxAbsFlowCms,maxFullness,maxCapacityRatio,finalFlowCms,finalFullness,reverseCount,uiReverseCount
REL_015_CONDUIT,link_1781754212047,relation,관계 015: 아파트 02 → 오수 커넥터 02,sewer,0.00489961580714609,0.00489961580714609,0.004999998246467798,0.004999998246467798,0.006395427984292844,0.03850485780967023,0.005187360395545201,0.004999999991162379,0.038440229557292586,0,0
REL_019_CONDUIT,link_1781754486444,relation,관계 019: 오수 커넥터 12 → 물재생센터 01,sewer,0.000776689051926236,0.000776689051926236,0.002274777879328998,0.002274777879328998,0.002709457721928393,0.01641878978719069,0.0021976533415205917,0.002709457721928393,0.01641878978719069,0,0
REL_021_CONDUIT,link_1781754504440,relation,관계 021: 물재생센터 01 → 처리수 커넥터 01,treated,3.65115120704331e-06,3.65115120704331e-06,1.5771028246545177e-05,1.5771028246545177e-05,2.950808494678156e-05,0.002882488347683648,2.393414038548405e-05,2.950808494678156e-05,0.002882488347683648,0,0
REL_022_CONDUIT,link_1781761456041,relation,관계 022: 빗물받이 01 → 우수 커넥터 01,storm,0.010854093771439905,0.010854093771439905,0.011111111111079984,0.011111111111079984,0.011715131024100255,0.03742268400283581,0.009502195451546484,0.011111111111111356,0.035938760051708166,0,0
REL_029_CONDUIT,link_1781761542111,relation,관계 029: 우수 커넥터 10 → 우수 맨홀 01,storm,-0.0056647717711348555,0.005676476773777763,-0.0041316253391588285,0.004190150352373362,0.012870485645355647,0.2354392967266581,0.010439308779978878,-0.0010596477805004435,0.2354392967266581,564,0
REL_030_CONDUIT,link_1781761591745,relation,관계 030: 우수 맨홀 01 → 우수 커넥터 09,storm,-0.0045665805936549965,0.004681716157293512,-0.0033833126254354928,0.003691841483460031,0.011115026426375225,0.23445510190699861,0.009015447913919788,-0.0005132586559072538,0.23445510190699861,505,0
REL_036_CONDUIT,link_1781761700672,relation,관계 036: 우수 커넥터 12 → 빗물펌프장 01,storm,9.403007083852016e-05,0.00014099030130118207,-1.0736476492673042e-05,0.00022364814541449038,0.0004041642791043274,0.028096658633020074,0.0003278194641342185,-0.00018153331523959094,0.028096658633020074,0,0
REL_038_CONDUIT,link_1781761766472,relation,관계 038: 주거지 01 → 오수 커넥터 03,sewer,0.004896112777271264,0.004896112777271264,0.0049994090810184,0.0049994090810184,0.0064207486333220055,0.0410009150319554,0.005207898087828808,0.004999636332475252,0.0410009150319554,0,0
REL_042_CONDUIT,link_copy_1781761822423_1,relation,관계 042: 주거지 02 → 오수 커넥터 04,sewer,0.004896687025551942,0.004896687025551942,0.005000000000550646,0.005000000000550646,0.006417321184841712,0.04056620815843383,0.005205118068954683,0.005000000000336735,0.040566208017870455,0,0
REL_046_CONDUIT,link_copy_1781761845125_1,relation,관계 046: 빗물받이 03 → 우수 커넥터 03,storm,0.010853933776784548,0.010853933776784548,0.01111111111111112,0.01111111111111112,0.011730728177575141,0.03725674802529523,0.009514846372863647,0.011111111111111406,0.036027347385894276,0,0
REL_057_CONDUIT,link_1781761954496,relation,관계 057: 합류식 커넥터 01 → 합류식 맨홀 01,combined,-0.0011203649455236555,0.003305813457581919,-0.0012310156915419821,0.004665796667263911,0.008414198446170824,0.24071996327266343,0.006824794194715758,0.00022058645368335842,0.24071996327266343,365,0
REL_058_CONDUIT,link_1781761960975,relation,관계 058: 합류식 맨홀 01 → 합류식 커넥터 02,combined,-7.043916110927267e-05,0.0029058608291852293,-0.0004985899662541237,0.004196538971903269,0.007234727410150626,0.2384483257288235,0.0058681199338264985,0.001077812874924418,0.2384483257288235,270,0
REL_061_CONDUIT,link_1781762083267,relation,관계 061: 합류식 커넥터 03 → 우수토실-월류시설 01,combined,0.0044606958705661805,0.0044606958705661805,0.005402729299337716,0.005402729299337716,0.00540272955009035,0.02020017522375588,0.004382178231826233,0.00540272955009035,0.02019999611521536,0,0
REL_066_CONDUIT,link_1781762200258,relation,관계 066: 빗물펌프장 01 → 우수 커넥터 13,storm,-0.0006478957007942266,0.0006478957007942266,-0.0013296814459348653,0.0013296814459348653,0.0013741892454418798,0.028728280783166613,0.0011146110761151124,-0.0012359165311384257,0.028728280783166613,316,0
REL_069_CONDUIT,link_1781762240045,relation,관계 069: 처리수 커넥터 02 → 처리수 방류구 01,treated,0.0,0.0,0.0,0.0,0.0,2.5400000000000004e-05,0.0,-0.0,2.5400000000000004e-05,0,0
REL_070_CONDUIT,link_1781762242924,relation,관계 070: 우수 커넥터 14 → 펌프 방류구 01,storm,0.0,0.0,0.0,0.0,0.0,7.501612494366346e-05,0.0,-0.0,7.501612494366346e-05,0,0
REL_071_CONDUIT,link_1781762359792,relation,관계 071: 우수토실-월류시설 01 → 합류식 커넥터 04,combined,0.004408854363435664,0.004408854363435664,0.005380265314512582,0.005380265314512582,0.005381126202829303,0.007945759957380973,4.115036819378085e-05,0.005380166181779877,0.007694006668218493,0,0
REL_079_CONDUIT,link_1781763845675,relation,관계 079: 빗물받이 02 → 우수 커넥터 02,storm,0.010851757429850072,0.010851757429850072,0.01111109093436195,0.01111109093436195,0.011662842249537451,0.03804529691266492,0.009459783791378493,0.011111094457170715,0.03719900397812598,0,0
REL_085_CONDUIT,link_copy_1781763961700_3,relation,관계 085: 빗물받이 04 → 우수 커넥터 04,storm,0.010845864410893968,0.010845864410893968,0.01111111111111112,0.01111111111111112,0.011729830883439277,0.03989013191835261,0.0095141185735553,0.011111111111110742,0.03977979877352346,0,0
link_1781772889617_CONDUIT,link_1781772889617,relation,관계,overflow,1.7385018872938027e-05,1.7385018872938027e-05,2.247203699958448e-05,2.247203699958448e-05,2.256871550510917e-05,0.0028266198277034395,1.8305586627987826e-05,2.256871550510917e-05,0.0028266198277034395,0,0
link_1781772899496_CONDUIT,link_1781772899496,relation,관계,overflow,0.0,0.0,0.0,0.0,0.0,2.5400000000000004e-05,0.0,-0.0,2.5400000000000004e-05,0,0
pipeSegment_copy_1781772027152_1,pipeSegment_copy_1781772027152_1,pipeSegment,파이프 복사,combined,0.004837833015642536,0.004837833015642536,0.0054027299389107575,0.0054027299389107575,0.005413745418309975,0.05037553891277208,0.0014232232611353945,0.00540272993891192,0.05037553891277208,0,0
pipe_free_1781771017429,pipe_free_1781771017429,pipeSegment,파이프,sewer,0.0018064457426659468,0.0018064457426659468,0.0026086772157278,0.0026086772157278,0.0026137090122996553,0.020477833292059586,0.0010075725796456284,0.0026137090122996553,0.020477833292059586,0,0
pipe_free_1781771452952,pipe_free_1781771452952,pipeSegment,파이프,sewer,-0.0020194230424876694,0.0020194230424876694,-0.0031730491990080993,0.0031730491990080993,0.003205369261146029,0.1594847568178889,0.001267010337297044,-0.003205369261146029,0.1594847568178889,481,0
pipe_free_1781771598332,pipe_free_1781771598332,pipeSegment,파이프,storm,0.00466442658177894,0.00466442658177894,0.007644964976140793,0.007644964976140793,0.007901794830083854,0.25586797590212135,0.0029865160416668256,0.007901794830083854,0.25586797590212135,0,0
pipe_free_1781771701381,pipe_free_1781771701381,pipeSegment,파이프,storm,0.005563311445371179,0.005563311445371179,0.00642825359074554,0.00642825359074554,0.006578719782114709,0.028824660673286193,0.0016668118202158683,0.006415215360568549,0.027543422965020457,0,0
pipe_free_1781771856872,pipe_free_1781771856872,pipeSegment,파이프,combined,-0.00016142149354055814,0.00016142149354055814,-0.00041288198789822566,0.00041288198789822566,0.0004983633567381394,0.05482230730407924,0.0025666672343281458,-0.0004983633567381394,0.05482230730407924,0,0
pipe_free_1781771871446,pipe_free_1781771871446,pipeSegment,파이프,combined,8.199145588215464e-05,0.00016344214045816658,0.000447913739739472,0.000447913739739472,0.0005570911483824723,0.06591003174999606,0.0028691266678317244,0.0005570911483824723,0.06591003174999606,0,0
pipe_free_1781771885636,pipe_free_1781771885636,pipeSegment,파이프,combined,0.009336616689423512,0.009336616689423512,0.01143200543096305,0.01143200543096305,0.011556525474906541,0.26533890835690116,0.004298009615211861,0.011556525474906541,0.26533890835690116,0,0
pipe_free_1781772019999,pipe_free_1781772019999,pipeSegment,파이프,combined,-0.005120711730289064,0.005120711730289064,-0.005708381172200099,0.005708381172200099,0.005720019835601056,0.2511849909530222,0.001435851652670095,-0.005708381172201327,0.2511849909530222,558,0
pipe_free_1781772135198,pipe_free_1781772135198,pipeSegment,파이프,storm,0.0010863945264572225,0.0010863945264572225,0.0023623101632947053,0.0023623101632947053,0.0026393689620126393,0.023455719585008594,0.0002858240651708995,0.0026393689620126393,0.023455719585008594,0,0
pipe_free_1781772198383,pipe_free_1781772198383,pipeSegment,파이프,sewer,0.0012961957161731377,0.0012961957161731377,0.0028663084765917154,0.0028663084765917154,0.0032028721499210047,0.022836856298620842,0.00025459911397047416,0.0032028721499210047,0.022836856298620842,0,0
pipe_free_1781772269295,pipe_free_1781772269295,pipeSegment,파이프,sewer,-1.8247073953567634e-06,1.8247073953567634e-06,-4.872388590346198e-06,4.872388590346198e-06,5.754736291522324e-06,0.007963834968922492,7.590182626748244e-06,-5.754736291522324e-06,0.007963834968922492,0,0
