linkId,sourceEditorId,sourceEditorType,sourceEditorName,pipeKind,kind,fromNode,toNode,lengthM,diameterM,baselineTailAbsFlowCms,blockedTailAbsFlowCms,flowReduction,baselineMaxFullness,blockedMaxFullness,upstreamDepthDelta,downstreamDepthDelta,reverseCount,uiReverseCount,status,issues
link_1781772889617_CONDUIT,link_1781772889617,relation,관계,overflow,CONDUIT,FAC_OVERFLOW_CHAMBER_01,CONN_OVERFLOW_01,5.0,1.2,2.247203699958448e-05,1e-06,,0.0028266198277034395,0.002120868962965233,4.5097019516222425e-06,-7.163946519934341e-06,0,0,inconclusive_no_baseline_flow,
link_1781772899496_CONDUIT,link_1781772899496,relation,관계,overflow,CONDUIT,CONN_OVERFLOW_02,OVERFLOW_OUTFALL_01,5.0,1.2,0.0,0.0,,2.5400000000000004e-05,2.5400000000000004e-05,0.0,0.0,0,0,inconclusive_no_baseline_flow,
pipeSegment_copy_1781772027152_1,pipeSegment_copy_1781772027152_1,pipeSegment,파이프 복사,combined,CONDUIT,connector_1781771938741_105,CONN_COMB_03,45.96233254495155,0.6,0.0054027299389107575,1e-06,0.9998149083868142,0.05037553891277208,0.01919144530064773,2.7496173864743968e-05,-0.00018257327182355485,0,0,suspect,no_upstream_depth_response
pipe_free_1781771017429,pipe_free_1781771017429,pipeSegment,파이프,sewer,CONDUIT,connector_1781770935874_97,CONN_SEWER_09,98.83024267703058,0.6,0.0026086772157278,1e-06,0.9996166639575141,0.020477833292059586,0.01846396406285045,1.7009492502446926e-05,-2.2485429875969462e-05,0,0,suspect,no_upstream_depth_response
pipe_free_1781771452952,pipe_free_1781771452952,pipeSegment,파이프,sewer,CONDUIT,CONN_SEWER_10,connector_1781771440709_98,103.90963836163564,0.6,0.0031730491990080993,1e-06,0.9996848457312567,0.1594847568178889,0.13227032142903616,-0.0001043964082262193,2.1274156059776023e-05,0,0,suspect,no_upstream_depth_response
pipe_free_1781771598332,pipe_free_1781771598332,pipeSegment,파이프,storm,CONDUIT,connector_1781771589602_100,CONN_STORM_10,95.46739141043645,0.6,0.007644964976140793,1e-06,0.9998691949533947,0.25586797590212135,0.2277340010417552,4.435873574623219e-05,-0.00015725550566400028,0,0,suspect,no_upstream_depth_response
pipe_free_1781771701381,pipe_free_1781771701381,pipeSegment,파이프,storm,CONDUIT,connector_1781771680494_101,ELBOW_STORM_05,103.19547028337661,0.6,0.00642825359074554,1e-06,0.9998444367531736,0.028824660673286193,0.02364795913764624,3.34549584449083e-05,-4.939173273337911e-05,0,0,suspect,no_upstream_depth_response
pipe_free_1781771856872,pipe_free_1781771856872,pipeSegment,파이프,combined,CONDUIT,connector_1781771816146_102,teeConnector_copy_1781771850329_1,173.80363639486495,0.6,0.00041288198789822566,1e-06,,0.05482230730407924,0.05560993328260042,-1.7045002324687653e-06,5.988200874766349e-06,0,0,inconclusive_no_baseline_flow,
pipe_free_1781771871446,pipe_free_1781771871446,pipeSegment,파이프,combined,CONDUIT,teeConnector_copy_1781771850329_1,teeConnector_copy_1781771853047_1,180.9307368257878,0.6,0.000447913739739472,1e-06,,0.06591003174999606,0.0660699253777708,3.1758054138533232e-06,-2.306182246538188e-06,0,0,inconclusive_no_baseline_flow,
pipe_free_1781771885636,pipe_free_1781771885636,pipeSegment,파이프,combined,CONDUIT,teeConnector_copy_1781771853047_1,CONN_COMB_01,91.98814392089844,0.6,0.01143200543096305,1e-06,0.9999125262836832,0.26533890835690116,0.22172840475594574,0.00035407295913301724,-0.0005474875465743956,0,0,suspect,no_upstream_depth_response
pipe_free_1781772019999,pipe_free_1781772019999,pipeSegment,파이프,combined,CONDUIT,CONN_COMB_02,connector_1781771938741_105,41.90595358786095,0.6,0.005708381172200099,1e-06,0.9998248189863581,0.2511849909530222,0.2045229186214854,-0.00026302195162165474,3.0196869170652423e-05,0,0,suspect,no_upstream_depth_response
pipe_free_1781772135198,pipe_free_1781772135198,pipeSegment,파이프,storm,CONDUIT,connector_1781772095944_106,CONN_STORM_12,163.8136358456013,1.0,0.0023623101632947053,1e-06,0.999576685561643,0.023455719585008594,0.01155320988042604,3.2754595645912617e-06,-3.3401126775744797e-05,0,0,suspect,no_upstream_depth_response
pipe_free_1781772198383,pipe_free_1781772198383,pipeSegment,파이프,sewer,CONDUIT,connector_1781772175449_107,CONN_SEWER_12,88.26473999023438,1.0,0.0028663084765917154,1e-06,0.9996511191980324,0.022836856298620842,0.007963350957947842,3.3829868422312577e-06,-3.046396703613351e-05,0,0,suspect,no_upstream_depth_response
pipe_free_1781772269295,pipe_free_1781772269295,pipeSegment,파이프,sewer,CONDUIT,connector_1781772244702_108,connector_1781772175449_107,1865.7733619990631,1.0,4.872388590346198e-06,1e-06,,0.007963834968922492,0.007962676443166311,-4.93897046144011e-09,2.7757641216770922e-09,0,0,inconclusive_no_baseline_flow,
